HadCOPD,AlcoholDrinkers,SmokerStatus,GeneralHealth,DifficultyWalking,HadDiabetes,HighBloodPressure,HadStroke,BlindOrVisionDifficulty,AgeCategory,HighCholesterol,HadKidneyDisease,Sex,HadAngina
0.24233234,-0.26739532,0.5082403,-0.34274152,-0.1272956,-0.075497635,0.36034265,-0.11957872,-0.04150271,-0.8480387,-0.2411032,-0.030156804,0.27205765,-0.65845066
-0.036159355,-0.15887976,-0.22961071,-0.7930169,-0.110593535,-0.064822085,-0.418305,-0.11759126,-0.039788526,-0.8926877,-0.11225459,-0.02840371,-0.36453763,-0.7430549
-0.03763219,-0.15100825,0.12651004,0.08342927,-0.08167195,-0.090836465,-0.2714987,-0.09176993,-0.02214562,-0.7496345,-0.14254786,-0.02812245,0.28417695,-0.72396654
-0.02162357,-0.016594853,-0.19621302,-0.046410106,-0.14730212,-0.08418079,-0.40035734,-0.12540948,-0.051879715,-1.6258811,-0.12976435,-0.033819124,-0.2792753,-0.6800225
-0.029479062,-0.047161866,0.17181675,0.4959806,-0.031463694,-0.068840854,-0.29959562,-0.09242312,-0.007848211,0.1752757,0.12827303,-0.034609854,-0.38279492,-0.6195489
-0.036170878,0.08169246,0.10148187,-0.38623238,-0.05938904,-0.0663211,-0.3383923,-0.08593645,-0.018753346,-0.07730733,0.120678276,-0.031298157,-0.38752878,-0.67624044
-0.0376223,-0.1241954,0.11689378,0.633236,-0.08441469,-0.07554072,-0.3129039,-0.10522831,-0.017088924,-0.8544828,-0.14617817,-0.03552052,0.27302507,-0.6962463
-0.027263502,-0.075986475,-0.24631853,-0.33737552,-0.053842384,-0.072691135,-0.25544497,-0.09824034,-0.012608021,0.37929624,0.10916152,-0.0188384,-0.4308419,-0.612857
-0.010323265,-0.16334975,0.39107457,0.06777788,-0.056993406,0.19276789,0.23699774,-0.09691018,-0.02335852,0.24125543,-0.16713968,-0.016683342,0.3088262,-0.5462787
-0.029977668,0.19201978,-0.20588876,-0.66240495,-0.09971844,-0.09933954,-0.32385936,-0.10472939,-0.01808509,-0.40268606,-0.12597325,-0.025742926,0.34145287,-0.7209975
-0.016635455,0.13285965,-0.20652534,-0.66608214,-0.08650446,-0.102611005,-0.28820243,-0.11146349,-0.015623853,0.15475139,-0.12732644,-0.026808444,0.40079147,-0.6798598
-0.036573365,-0.14708449,-0.20030715,-0.45940557,-0.10625033,-0.05386675,-0.35559326,-0.10554041,-0.026446842,-1.0176742,-0.117239885,-0.03295749,-0.3004706,-0.7260956
-0.038779296,-0.21062344,-0.21898024,-0.3517212,-0.13998225,0.23584646,-0.3663206,-0.094949976,-0.028193878,-1.2298778,0.10597485,-0.025398243,0.3745049,-0.68429905
-0.02112453,-0.07683234,0.14811952,0.07361748,-0.046418868,-0.09102527,0.22893669,-0.114876226,-0.00510185,0.24562848,-0.18311158,-0.02678017,0.30627313,-0.562011
-0.03849773,0.17156437,-0.23320416,-0.69121915,-0.09780101,-0.069530204,-0.3660982,-0.10296,-0.03427549,-0.60547525,-0.108875826,-0.026699023,-0.41800353,-0.7301133
-0.030764313,-0.18390548,0.61023635,-0.18824674,0.51450723,0.16771609,-0.27120894,-0.05694483,-0.04371151,-0.22541848,-0.12707052,0.426815,-0.30376092,-0.682586
-0.025919491,0.025237473,-0.1539689,-0.25399804,-0.15235133,-0.100169346,-0.41344368,-0.111023396,-0.043819483,-1.5721369,-0.122275986,-0.03355227,-0.43623778,-0.6795083
-0.017230108,-0.13925914,0.70240366,-0.19497593,-0.035867214,-0.038365528,-0.22837079,-0.08687795,-0.024079943,0.625741,0.14880505,-0.011826372,-0.36761087,-0.61905307
-0.028222444,-0.11227769,-0.2441559,-0.9352194,-0.060999867,-0.0715144,-0.36582768,-0.11087556,-0.017738648,0.42483836,0.082995266,-0.0127659645,-0.5103549,-0.67692757
-0.026568996,-0.06880447,-0.18823378,-0.26495215,-0.043932732,-0.0635114,-0.2080408,-0.08590182,-0.014265878,1.0963733,0.120578796,-0.02241459,-0.3895751,-0.58157355
-0.030786475,-0.18756376,-0.19552048,-0.42448965,-0.1181838,-0.07476016,-0.3193304,-0.1080938,-0.023201723,-1.1316136,-0.14304131,-0.029586403,0.26016963,-0.72949713
-0.025362663,-0.09359066,-0.23944418,-0.32302785,-0.06367198,-0.07604213,0.20689635,-0.118242085,-0.005410711,0.4888222,-0.12032108,-0.010072588,-0.39448228,-0.56556934
